,emoji,count
794,🇵🇹,5735
509,🐴,5726
817,🚔,5706
644,✏️,5698
555,🥞,5668
676,🛬,5662
131,🍗,5609
465,🏒,5585
190,👂,5565
810,🇪🇬,5524
127,🐑,5509
767,🎾,5506
1037,🇮🇩,5498
588,🦍,5472
258,🧀,5432
643,🎱,5406
161,🐉,5375
442,🍏,5371
443,🔌,5370
769,🐀,5361
540,🔨,5337
916,⚰️,5281
419,⛳,5261
562,🦉,5255
1107,⛔,5248
618,🌮,5246
568,📽️,5243
672,🧚,5224
173,✂️,5223
1072,👴,5166
403,🚙,5130
522,✖️,5085
273,🧢,5042
705,🇨🇳,5031
1041,⏱️,5008
768,❎,5000
363,🇯🇲,4979
517,🇩🇴,4971
624,🐭,4926
744,🐒,4922
1063,🆙,4904
699,👯‍♀️,4904
664,👕,4882
931,🇹🇭,4869
566,🙋‍♀️,4839
451,🌃,4757
1163,🎷,4738
818,🏃‍♀️,4695
119,🍧,4644
441,🐞,4629
312,💏,4617
635,🔎,4602
970,🔅,4601
797,🏃‍♂️,4598
567,☮️,4569
736,🧠,4564
466,👦,4552
907,☎️,4528
613,⛽,4520
388,🍴,4488
532,🌋,4464
260,🇵🇷,4437
596,🚘,4435
586,🏇,4401
410,⚓,4398
940,◽,4388
348,🌛,4385
726,🐔,4357
631,🥈,4342
80,🖖,4324
544,🤰,4317
315,🤳,4314
317,🚦,4314
850,🥕,4284
798,🤚,4267
820,🗓️,4259
639,👥,4232
1122,📩,4201
933,🇲🇾,4199
445,👰,4183
674,〽️,4179
944,💷,4169
740,🏉,4127
1200,🍡,4120
829,🇧🇪,4115
693,🇵🇰,4107
687,👓,4101
168,🐲,4098
316,💒,4036
1151,💮,4034
515,👗,4020
1100,🎅,4013
884,📼,3995
193,🌽,3981
951,🚃,3967
908,🍝,3960
422,👺,3927
681,🐅,3919
766,🏏,3894
679,🆗,3875
1069,🔋,3812
510,⚖️,3769
1061,🤜,3767
647,🍞,3757
765,8️⃣,3750
1039,🔓,3743
804,🏴,3689
1136,🐋,3683
958,6️⃣,3669
146,🎃,3664
938,📋,3658
945,🎙️,3653
761,🍜,3651
418,🍵,3634
802,🥑,3629
276,👮,3606
800,🎰,3593
710,🍨,3590
793,👯,3579
1040,🗳️,3560
784,↪️,3558
733,🚌,3552
251,💳,3549
530,🥉,3547
764,🐚,3532
450,🙋‍♂️,3531
649,🧜,3522
685,🇮🇱,3506
748,🤛,3486
1051,🚑,3482
847,🦀,3477
1204,🍥,3458
799,🕒,3456
500,📉,3444
789,🍈,3434
1138,🇪🇺,3415
599,✴️,3414
554,📡,3401
779,⛵,3395
1278,⬛,3389
404,👱,3374
960,🎻,3373
747,💁‍♀️,3366
310,🏂,3355
597,🚬,3349
645,🍽️,3332
564,🥚,3307
278,🏐,3299
107,🏴󠁧󠁢󠁳󠁣󠁴󠁿,3297
959,🥤,3287
295,💼,3283
894,7️⃣,3274
786,👖,3274
1023,🎺,3268
428,◾,3263
891,🐩,3250
646,🛌,3250
1030,🐏,3249
1052,🚲,3240
828,🐮,3240
623,🍅,3237
663,🔍,3235
738,🇵🇸,3226
980,🌤️,3212
514,🇸🇪,3201
185,🎪,3185
362,🅰️,3185
858,🇳🇱,3181
454,🔼,3164
413,🚕,3134
658,🐓,3121
481,💇,3120
592,9️⃣,3116
936,🐵,3109
724,🇨🇱,3087
488,🔚,3060
591,🍢,3059
706,🚚,3044
1191,☂️,3013
159,🏊,2991
511,👤,2948
739,🐛,2929
694,🐗,2922
1066,🛸,2889
548,🎣,2880
637,🏮,2852
883,👁️,2846
357,🦖,2824
468,🧖,2799
561,🇨🇭,2765
626,🥓,2751
1096,🍐,2722
771,🔈,2712
871,🍲,2703
654,🎟️,2702
943,➰,2692
351,🌜,2690
948,🐜,2671
731,🌭,2664
1202,🎫,2661
1054,🏰,2647
572,🥛,2632
496,🗿,2632
690,🇳🇴,2624
497,🕕,2621
299,🔂,2619
361,👔,2613
1047,🤲,2609
781,🐌,2601
201,🌄,2589
1131,🔟,2586
715,🇬🇷,2584
444,🅿️,2579
796,🃏,2576
1325,🌥️,2566
913,♣️,2566
905,📨,2553
912,🐆,2543
927,👵,2540
560,🐽,2531
896,🦌,2526
516,👢,2523
608,🐄,2515
519,🥅,2510
928,🇭🇹,2491
901,☢️,2483
1110,💈,2481
711,🕊️,2452
846,🐡,2441
1159,🙅‍♀️,2427
666,🦎,2427
819,🚥,2423
662,🍣,2420
616,🚒,2417
