,emoji,count,polarity,subjectivity,position
83,🔴,91995,0.2640210422848646,0.2942322155577122,0.6401977620892529
84,🌻,91968,0.4147225391849505,0.3493212522372484,0.720208249089672
85,🎈,91697,0.5552854890837563,0.5071244543161136,0.6511384726335212
86,💃,91351,0.3153468371932227,0.2925393435472477,0.7431820838558204
87,🤤,87979,0.2340318756657309,0.3144623065137719,0.8245425414364388
88,🚀,87754,0.2639051543365327,0.3249426735408585,0.5834374236518822
89,🎂,87703,0.6454132597768442,0.6462691349251444,0.7294320902027296
90,😫,86992,0.052561957720587776,0.3416439757221691,0.8368953739789062
91,🎁,86640,0.4760728984111914,0.4315165586392245,0.5097986415995241
92,📣,84209,0.23640634560570115,0.3059698766157497,0.28101100992296313
93,🙈,83432,0.20135933286944047,0.32837464379588466,0.7893315648508853
94,😜,83317,0.22913353779002915,0.33486949965225954,0.8267139291412688
95,✊,83129,0.2887469328140196,0.304971925624302,0.8104818937349607
96,🙂,82977,0.202943500874821,0.3591819042807307,0.854862534907242
97,❄️,81736,0.20386689282747156,0.32298303109912235,0.6236310188866849
98,💝,81595,0.34828042923434743,0.407358631457471,0.7125559948407824
99,😄,81540,0.32790461134617616,0.34240372339482533,0.7906472818375001
100,⚠️,81511,0.23010286499484264,0.36355767910046977,0.3650373417721448
101,😡,81046,-0.06531284216589801,0.3571038713876588,0.7826882289767922
102,😇,80489,0.35801280880773456,0.33350040115579804,0.7890878767156029
103,📷,76257,0.27507064504305884,0.28503872265609553,0.4153100682830978
104,🤘,75991,0.2857015906720982,0.3215220510778176,0.7937776651565507
105,☀️,74957,0.41121117596269513,0.36008122645213836,0.7106712706043906
106,🤧,72227,0.09773751837769419,0.32044758829648046,0.8381906394428501
107,👅,72121,0.23856797767182386,0.3063862917734336,0.6080376296134529
108,🐶,71458,0.29475604238142555,0.3646861217197217,0.7475026683416994
109,🤪,71293,0.1826696068002655,0.32176716475849165,0.8368870256989565
110,📸,70384,0.2975647417014652,0.2575584482017514,0.5599579180398345
111,😻,68979,0.34265259922083646,0.3637808185868908,0.7430890203691607
112,😴,68287,0.11256944516971483,0.30120009083045235,0.8403531444636442
113,🎥,67353,0.21618091267434442,0.2918001277955393,0.5535638074953056
114,🤞,66917,0.28685698255393427,0.3438726833073414,0.843563171768233
115,😬,64311,0.14261875811429225,0.319557596719454,0.8298868410633201
116,🎊,62460,0.5158168723127831,0.46483192164545534,0.6845599418870424
117,🌈,61100,0.3682341838600172,0.3621883068240097,0.7177267257934447
118,🌞,59577,0.42438038212671736,0.3434752365102806,0.7348469679318933
119,🔵,59362,0.29982692028254065,0.24294763388259544,0.7112862495709001
120,🍀,58452,0.46383694158595157,0.37018579949118224,0.6478486403467447
121,😃,58253,0.3567554255088783,0.3687840643445588,0.761435690471534
122,🐾,58250,0.37294506090133767,0.3725678837209312,0.7498112161929389
123,🌊,58090,0.3097582067767184,0.2644378836930438,0.7438669679256706
124,🔔,56583,0.1404292108050843,0.1341871223164601,0.1297711522661027
125,👈,56445,0.21293280615680482,0.29183917537807624,0.6131858895767457
126,🍑,55463,0.28935379329201477,0.3127699708737869,0.69865798411297
127,☹️,54425,0.000351523328316004,0.3586704474121615,0.7943726395470321
128,😪,53409,0.08080577209533478,0.33105106362280357,0.8529255684544622
129,🌷,53204,0.45548217667079227,0.4173227245123307,0.695221458409999
130,🐰,52770,0.45859134657839296,0.405369857974001,0.6786661493269361
131,❣️,52223,0.4002097181113556,0.35601062159816765,0.7449742510057754
132,👋,52138,0.2546367526223705,0.27297164810690255,0.6215206633359266
133,🎵,50704,0.2938539945280421,0.3097355404309031,0.644792964031374
134,🏀,49831,0.20450721692927307,0.287429755015629,0.6850021363040677
135,⬇️,49289,0.22193118567752687,0.30482583426526627,0.6723035461865317
136,😝,48986,0.21508171326975872,0.31811900138696103,0.8117697568736084
137,😐,48584,-0.04249648071533152,0.34415449996320757,0.8571526874677673
138,🤩,48300,0.3478310306580295,0.36427953834171645,0.7211116483749782
139,😕,48290,0.033356409698024905,0.30404782850701184,0.8525490516451519
140,❌,47528,0.16091453524492655,0.32856615576243087,0.5311317516716816
141,🎮,47263,0.154617112571901,0.19523787559413314,0.8255780788042035
142,💸,46947,0.3151143236287506,0.31040349990831045,0.7756616523014614
143,🌼,46914,0.4469674323809486,0.36211135898734015,0.6983059392404986
144,😛,46691,0.24904220790681325,0.3069904076064469,0.8248521041752721
145,🌎,46435,0.3434412387587093,0.3440267249467017,0.6143447043354551
146,😑,45908,-0.03663485236681791,0.33747758201801964,0.837013224526882
147,🍃,45881,0.3949229449838152,0.3025540889969136,0.6788020875011757
148,🎤,45264,0.3078023429819692,0.29318445894881584,0.6901305298866387
149,😞,44967,0.0006152409787443964,0.3391719438413603,0.7753105369807324
150,💐,44803,0.48687827373212467,0.41226004657933346,0.701951929160588
151,↗️,43967,0.25734577272727294,0.19715701550387607,0.5896804651162794
152,📞,43966,0.18759847082495013,0.045988360105799514,0.6918500070963026
153,🔗,43410,0.2586742241215491,0.23092836820393048,0.8254321165463441
154,😚,42754,0.4084415138158976,0.38147017062089933,0.8076978808682513
155,🌍,42209,0.3329167080662321,0.3734103616484475,0.5505524146341211
156,🦋,42114,0.3464421026994115,0.3119727846027841,0.7080073597461192
157,🌺,41863,0.44000603903558927,0.3609255531979399,0.6822087036475739
158,😹,41674,0.11333045104196333,0.26221004853191143,0.7940162096578631
159,🧡,41520,0.3708145554952019,0.33999384185687925,0.7429974198208485
160,🤙,41403,0.3216724653243833,0.3067056104695931,0.8046525696689639
161,☕,41402,0.3903157953084807,0.3909022082858201,0.7106698593690559
162,💨,40890,0.27639940467753643,0.30517999541231894,0.7370379894483411
163,🕺,40681,0.3405644379419597,0.2479609451776639,0.7384200517766474
164,🙋,40512,0.34665231547482295,0.2849667931430946,0.6585372175185581
165,🏃,39268,0.1936946286549709,0.28664322855463975,0.699983284371337
166,🚖,39209,0.2453012530413629,0.02568925189326912,0.4606390565503222
167,💁,38889,0.2308753330715876,0.3307053158669866,0.7835278559801276
168,🎧,38081,0.313014881300218,0.30273315840968035,0.6234120955261038
169,🕰️,37734,0.054416968917970966,0.13840005503731245,0.886716418843305
170,▶️,37627,0.19512792204797103,0.24528504012671412,0.6277104002111957
171,↘️,37267,0.03020071129707099,0.25925469961240255,0.5537316860465092
172,⏬,37258,0.0010838521149499636,0.15547979248752286,0.19767728001051071
173,📺,36874,0.14990578881766536,0.28550918840858847,0.637016877828056
174,⚪,36454,0.2358754734651407,0.2788710840870207,0.6425047213395165
175,📹,35827,0.21370418990313586,0.25458624163438015,0.41164520253609
176,✈️,35565,0.27364592319714465,0.2574910583087402,0.6413147746005823
177,🤑,35254,0.23665111647879664,0.3040666223590318,0.8065818189450068
178,🖥️,34717,0.05741703537486754,0.1309528960096718,0.8510940407093461
179,😣,34638,0.030048095135600413,0.3378084998306802,0.8303299277570849
180,😥,34205,0.06929098212451165,0.3330328295504181,0.815290758402446
181,🐯,33797,0.37517343237250245,0.32067523141944154,0.6578451706009623
